,UTM Campaign,UTM Medium,UTM Term,Account Creates,Account Verifies,Session Starts First,Game Plays First,Game Creates First,Game Publishes New First
1,affiliate_aphrim,video,,3,2,3,3,2,0
2,affiliate_arkpoint,youtube,,5,1,2,2,0,0
3,affiliate_ducain,video,,1,1,0,0,0,0
4,affiliate_dvplayscore,youtube,,48,21,24,24,3,1
5,affiliate_flexchadwell,twitch,,77,24,0,0,0,0
6,affiliate_icearrow,youtube,,69,17,12,12,3,0
7,affiliate_jaxcore,twitch,,4,0,2,2,0,0
8,affiliate_lanalux,stream,,17,9,11,11,9,0
9,affiliate_lotuscracker,video,,2,1,0,0,0,0
10,affiliate_luckofbuck,tiktok,,22,10,3,3,1,0
11,affiliate_luckofbuckdev,tiktok,,2,2,2,2,1,0
12,affiliate_marcepan,tiktok,,85,41,39,37,32,4
13,affiliate_mathieuxcore,youtube,,86,19,45,43,37,4
14,affiliate_metsu,twitch,,5,3,5,5,0,0
15,affiliate_mtgnerdgirl,stream,,7,1,2,2,0,0
16,affiliate_noangy,youtube,,1755,499,525,461,45,1
17,affiliate_pinkpocketxcore,youtube,,15,6,9,9,7,3
18,affiliate_tbsxcore,twitch,,2,1,2,2,0,0
19,affiliate_yoinkedgaming,video,,10,4,3,3,2,0
