Timestamp,Core Username,"For your primary platform, are you a...","If your primary platform is YouTube, please link all new Core videos for the month below. ","If your primary platform is Twitch or YouTube Live, you're already good to go. ","If your primary platform is TikTok, please upload a screenshot of your profile stats for the last 30 days here. ","If you also have made Core TikToks even if it was NOT your primary platform, please link all the Core TikToks below if you'd like them to be added for your extra tabulation!",Any special notes for this month or the next you'd like us to know? ,Optional field for any additional attachments.
5/4/2021 13:35:16,MetsuRjKen,Twitch Streamer,,Woohoo!,,,,
5/4/2021 14:39:33,TheBronzeSword,Twitch Streamer,,Woohoo!,,,,
5/4/2021 15:04:33,Jaxboxchick,Twitch Streamer,,Woohoo!,,,,
5/4/2021 16:59:12,Morticai,YouTuber,https://www.youtube.com/watch?v=ltYBK2JP1tE https://www.youtube.com/watch?v=rm4vQzd-kaI,Woohoo!,,,,
5/4/2021 20:36:55,GGJay,YouTuber,,Woohoo!,,,Just Joined xD,
5/8/2021 18:03:54,FLEX_CHADWELL,Twitch Streamer,,Woohoo!,,,,
5/4/2021 17:54:53,Ducain23,YouTuber,Sadly didn't make any videos because I was moving houses and additionally to that I didn't have internet,,,,"I've converted my second channel to ""Ducain LIVE"" and will be streaming Core there :D",
5/4/2021 13:43:02,LotusCracker,YouTuber,https://www.youtube.com/watch?v=Y9EIRKT0ih4&t  ; https://www.youtube.com/watch?v=U8J4BVSCq3U&t,,,,,
5/4/2021 16:39:07,Aphrim,YouTuber,"https://youtu.be/nH8cIYwJ8Fk
https://youtu.be/PofU-A9oQY4
https://youtu.be/dT6sPagZd0k
https://youtu.be/_euEqCmv8YE",,,,Hi,
5/4/2021 23:02:07,pinkpockettv,YouTuber,"https://youtu.be/Gb17QwJDM1U
https://youtu.be/CNzUdL-EAmM",,,,,
5/5/2021 0:47:46,Noangy,YouTuber,"https://youtu.be/9HB7TjVIISo (5 min Core promotion)
https://youtu.be/szVRi3gO5Ek (1 min Core promotion)
https://youtu.be/xstKuR9OLeo (2 min Core promotion)
https://youtu.be/9NdCvWRdnAQ (All Video Core promotion)
https://youtu.be/BxkxRnP0vKA (All Video Core promotion)
https://youtu.be/FqCARGvwa48 (5 min Core promotion)
https://youtu.be/m5A1Ws_rCuU (5 min Core promotion)",,,,Thanks :),
5/5/2021 9:36:49,marcepan,TikToker,,,https://drive.google.com/open?id=11q2H-c-RZz3Rg9kteKM4GWthH58W0VIi,,,
